name,latitude,longitude,review_count,rating,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,verified,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,Website_known,Phone_known,main_category,geo_cluster
Al Misk Auto Tyres Repair,25.293228,55.614556,-0.1375377781490995,0.31573850120312,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
Al Misk Auto Tyres Repair,25.293228,55.614556,-0.1375377781490995,0.31573850120312,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
Aster Pharmacy - Bur Dubai (147),25.2605951,55.2938174,-0.10460975490588122,-0.28058792587386666,7:30 AM-11 PM,7:30 AM-11 PM,7:30 AM-11 PM,7:30 AM-11 PM,7:30 AM-11 PM,7:30 AM-11 PM,7:30 AM-11 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
RAKBANK ATM - Al Razouki Exchange Muwallah N.P Sharjah,25.2934025,55.4413547,-0.1375377781490995,-4.156709701874276,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Other,0
Famous Footwear,40.320941,-76.4267516,-0.09475232119612796,-0.28058792587386666,10 AM-8 PM,10 AM-8 PM,11 AM-6 PM,10 AM-8 PM,10 AM-8 PM,10 AM-8 PM,10 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,4
S.O.S. Aquarium,50.7481988,4.2301844,-0.13124579918542723,0.16665689443387402,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,1
Adam Vital Physiotherapy and Rehabilitation,25.2011114,55.3747966,-0.11467692124775687,-0.28058792587386666,Closed,9 AM-8 PM,9 AM-8 PM,9 AM-8 PM,9 AM-8 PM,9 AM-8 PM,9 AM-8 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
基督旌旗411法兰克福华人教会 - Banner of Christ Church 411 Ministry Frankfurt e.V.,50.1079989,8.6656348,-0.1375377781490995,1.0611465350493527,Closed,Closed,11 AM-7 PM,Closed,Closed,Closed,Closed,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,2
Criminal defence lawyer in Dubai,25.2409249,55.2723748,-0.1373280455169771,1.0611465350493527,Closed,Closed,9 AM-4:30 PM,9 AM-4:30 PM,9 AM-4:30 PM,9 AM-4:30 PM,9 AM-4:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
BHS INTERFAITH SERVICES,25.2210309,55.2850267,-0.13124579918542723,0.16665689443387402,8 AM-5 PM,8 AM-5 PM,Closed,8 AM-5 PM,8 AM-5 PM,8 AM-5 PM,8 AM-5 PM,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Minutes,25.0693479,55.2420049,-0.07042333586992845,0.464820107972366,10 AM-12 AM,10 AM-12 AM,10 AM-12 AM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Shop,0
Stichting Kenniscentrum Haptonomie Hapsis Utrecht,52.0730816,5.117789999999999,-0.13124579918542723,0.16665689443387402,9 AM-6 PM,9 AM-6 PM,Closed,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Library,1
Dakdekker Droom Daken,52.0699254,5.0743439,-0.13606964972424265,1.0611465350493527,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,1
Animal Care Clinic,47.4563088,-94.8654088,-0.09475232119612796,0.017575287664626682,7:30 AM-6 PM,8 AM-12 PM,Closed,7:30 AM-6 PM,7:30 AM-6 PM,7:30 AM-6 PM,7:30 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Hospital,5
