name,latitude,longitude,review_count,rating,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,verified,Friday_morning,Friday_afternoon,Friday_evening,Saturday_morning,Saturday_afternoon,Saturday_evening,Sunday_morning,Sunday_afternoon,Sunday_evening,Monday_morning,Monday_afternoon,Monday_evening,Tuesday_morning,Tuesday_afternoon,Tuesday_evening,Wednesday_morning,Wednesday_afternoon,Wednesday_evening,Thursday_morning,Thursday_afternoon,Thursday_evening,Website_known,Phone_known,main_category,geo_cluster
Embassy Court Building,25.2598605,55.3057043,0.7808688094430304,0.6246950475544243,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
SNS Bank Vleuten-De Meern,52.0937219,5.013379,0.6643638388299198,0.7474093186836597,9:30 AM-5:30 PM,Closed,Closed,1-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bank,3
SPEED FITNESS ( BRANCH),25.2620019,55.2988293,0.9834900573119674,0.18096217054540198,5-9 PM,5 AM-1 AM,5 AM-1 AM,5 AM-1 AM,5 AM-1 AM,5 AM-1 AM,5 AM-1 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,0
Tulip Creek Hotel Apartments,25.2563431,55.3259529,0.999986473293696,0.005201271924849761,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Hotel,0
Hyatt Regency Aruba Resort Spa And Casino,12.5718501,-70.04582909999999,0.9999985361971739,0.0017110241113639857,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Hotel,2
Al Mahabba Watan Cafe,25.2859508,55.3583287,0.9998918860475786,0.014704292441876156,8 AM-2 AM,8 AM-2 AM,8 AM-2 AM,8 AM-2 AM,8 AM-2 AM,8 AM-2 AM,8 AM-2 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Restaurant,0
MAINTRAUM GmbH,50.1117812,8.6853867,0.9906788398452958,0.1362183404787282,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Agency,3
Gall & Gall | Amersfoort | Leusderweg 107,52.1432959,5.380111599999999,0.9896746352832819,0.14333218855826843,9 AM-8 PM,9 AM-5:30 PM,Closed,10 AM-6 PM,9 AM-6 PM,9 AM-6 PM,9 AM-6 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,3
Hibbett Sports,33.8857646,-84.7455809,0.9998195488556778,0.018996571428257877,10 AM-9 PM,10 AM-9 PM,12-7 PM,10 AM-9 PM,10 AM-9 PM,10 AM-9 PM,10 AM-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,2
Executive Suite Casino,46.3986921,-112.7354528,0.9906788398452958,0.1362183404787282,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,1
Secure Parking Souk Madinat Jumeirah,25.133463,55.1867619,0.8192319205190405,0.5734623443633283,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Park,0
"Saifco Travel & Tourism L.L.C - Dubai, UAE.",25.273362,55.3024691,0.9993306312280773,0.03658263917888497,Closed,9:30 AM-9:30 PM,9:30 AM-9:30 PM,9:30 AM-9:30 PM,9:30 AM-9:30 PM,9:30 AM-9:30 PM,9:30 AM-9:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Service,0
Al Khan Open Beach,25.328228,55.355775,0.999372839234187,0.03541084863428221,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Park,0
Famous Footwear,40.804176,-72.8610344,0.9988629958307027,0.04767300661919263,10 AM-9 PM,10 AM-9 PM,11 AM-6 PM,10 AM-9 PM,10 AM-9 PM,10 AM-9 PM,10 AM-9 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,2
SNS Bank Rhenen,51.9576639,5.5646372,0.6726727939963124,0.7399400733959437,9:30 AM-5:30 PM,Closed,Closed,1-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,9:30 AM-5:30 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bank,3
Al sada car trading معرض الصدا لتجارة السيارات المستعملة 165,25.3471875,55.4789886,0.9917025066621882,0.12855402864139476,4-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,10 AM-10 PM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Dealer,0
Jumeirah Archaeological Site,25.1983363,55.2412747,0.9520285612852643,0.30600918041312064,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tourist,0
Rieder Dakbedekkingen,52.1083432,5.1470178,0.24253562503633297,0.9701425001453319,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,3
The Variety Bar,55.8658922,-4.2682987,0.9999643180889991,0.008447635693089775,4 PM-12 AM,12 PM-12 AM,4 PM-12 AM,4 PM-12 AM,4 PM-12 AM,4 PM-12 AM,4 PM-12 AM,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Other,4
Shadmanian International Footwear Trading LLC (BR.),25.2725139,55.3056294,0.31622776601683794,0.9486832980505138,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,Hours not available,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Store,0
